Basin;Species;Status
Acisu;Anguilla.anguilla;native
Acisu;Aphanius.anatoliae;native
Acisu;Clarias.gariepinus;native
Acisu;Dicentrarchus.labrax;native
Acisu;Gambusia.affinis;exotic
Acisu;Liza.ramada;native
Acisu;Mugil.cephalus;native
Acisu;Vimba.vimba;native
Aconcagua;Basilichthys.australis;native
Aconcagua;Basilichthys.microlepidotus;native
Aconcagua;Brachygalaxias.bullocki;native
Aconcagua;Carassius.carassius;exotic
Aconcagua;Cheirodon.pisciculus;native
Aconcagua;Cyprinus.carpio;exotic
Aconcagua;Diplomystes.chilensis;native
Aconcagua;Galaxias.maculatus;native
Aconcagua;Gambusia.affinis;exotic
Aconcagua;Gambusia.holbrooki;exotic
Aconcagua;Mordacia.lapicida;native
Aconcagua;Mugil.cephalus;native
Aconcagua;Odontesthes.brevianalis;native
Aconcagua;Odontesthes.nigricans;native
Aconcagua;Odontesthes.regia;native
Aconcagua;Oncorhynchus.mykiss;exotic
Aconcagua;Percichthys.melanops;native
Aconcagua;Percichthys.trucha;native
Aconcagua;Percilia.gillissi;native
Aconcagua;Percilia.irwini;native
Aconcagua;Salmo.trutta;exotic
Aconcagua;Trichomycterus.areolatus;native
Adako.un;Anguilla.japonica;native
Adako.un;Carassius.auratus;exotic
Adako.un;Leucopsarion.petersii;native
Adako.un;Luciogobius.guttatus;native
Adako.un;Oryzias.latipes;native
Adako.un;Rhinogobius.flumineus;native
Adako.un;Rhinogobius.giurinus;native
Adako.un;Tridentiger.brevispinis;native
Adako.un;Tridentiger.obscurus;native
Adana;Barbus.arabicus;native
Adana;Cyprinion.acinaces.acinaces;native
Adana;Garra.quadrimaculata;native
Adelaide;Ambassis.interrupta;native
Adelaide;Hemiarius.dioctes;native
Adelaide;Leptachirus.klunzingeri;native
Adelaide;Carcharhinus.leucas;native
Adelaide;Cinetodus.froggatti;native
Adelaide;Cynoglossus.heterolepis;native
Adelaide;Eleutheronema.tetradactylum;native
Adelaide;Glossogobius.aureus;native
Adelaide;Herklotsichthys.gotoi;native
Adelaide;Kurtus.gulliveri;native
Adelaide;Lates.calcarifer;native
Adelaide;Leiognathus.equulus;native
Adelaide;Liza.alata;native
Adelaide;Chelon.subviridis;native
Adelaide;Chelon.planiceps;native
Adelaide;Nematalosa.erebi;native
Adelaide;Nibea.squamosa;native
Adelaide;Polydactylus.macrochir;native
Adelaide;Pristis.microdon;native
Adelaide;Rhinomugil.nasutus;native
Adelaide;Strongylura.krefftii;native
Adelaide;Toxotes.chatareus;native
Adour;Abramis.brama;native
Adour;Alburnus.alburnus;native
Adour;Alosa.fallax;native
Adour;Ameiurus.melas;exotic
Adour;Anguilla.anguilla;native
Adour;Barbatula.barbatula;native
Adour;Barbus.barbus;native
Adour;Blicca.bjoerkna;exotic
Adour;Carassius.carassius;exotic
Adour;Carassius.gibelio;exotic
Adour;Chelon.labrosus;native
Adour;Parachondrostoma.toxostoma;native
Adour;Cottus.gobio;native
Adour;Cyprinus.carpio;exotic
Adour;Esox.lucius;native
Adour;Gambusia.affinis;exotic
Adour;Gasterosteus.aculeatus;native
Adour;Gobio.gobio;native
Adour;Lampetra.fluviatilis;native
Adour;Lampetra.planeri;native
Adour;Lepomis.gibbosus;exotic
Adour;Squalius.cephalus;native
Adour;Leuciscus.leuciscus;native
Adour;Liza.ramada;native
Adour;Micropterus.salmoides;exotic
Adour;Mugil.cephalus;native
Adour;Oncorhynchus.mykiss;exotic
Adour;Perca.fluviatilis;exotic
Adour;Petromyzon.marinus;native
Adour;Phoxinus.phoxinus;native
Adour;Platichthys.flesus;native
Adour;Rutilus.rutilus;native
Adour;Salmo.salar;native
Adour;Salmo.trutta;native
Adour;Salvelinus.alpinus.alpinus;exotic
Adour;Salvelinus.fontinalis;exotic
Adour;Salvelinus.namaycush;exotic
Adour;Sander.lucioperca;exotic
Adour;Scardinius.erythrophthalmus;native
Adour;Thymallus.thymallus;exotic
Adour;Tinca.tinca;native
Agneby;Afronandus.sheljuzhkoi;native
Agneby;Amphilius.atesuensis;native
Agneby;Nimbapanchax.petersi;native
Agneby;Poropanchax.rancureli;native
Agneby;Aplocheilichthys.spilauchen;native
Agneby;Awaous.lateristriga;native
Agneby;Barbus.ablabes;native
Agneby;Barbus.callipterus;native
Agneby;Clypeobarbus.hypsolepis;native
Agneby;Barbus.punctitaeniatus;native
Agneby;Barbus.trispilos;native
Agneby;Brienomyrus.brachyistius;native
Agneby;Paramormyrops.kingsleyae;native
Agneby;Brycinus.longipinnis;native
Agneby;Brycinus.nurse;native
Agneby;Chromidotilapia.guntheri;native
Agneby;Chrysichthys.maurus;native
Agneby;Citharinus.eburneensis;native
Agneby;Clarias.anguillaris;native
Agneby;Clarias.buettikoferi;native
Agneby;Clarias.ebriensis;native
Agneby;Ctenopoma.kingsleyae;native
Agneby;Dormitator.lebretonis;native
Agneby;Eleotris.vittata;native
Agneby;Epiplatys.bifasciatus;native
Agneby;Epiplatys.chaperi;native
Agneby;Fundulopanchax.walkeri;native
Agneby;Hemichromis.fasciatus;native
Agneby;Hepsetus.odoe;native
Agneby;Heterobranchus.isopterus;native
Agneby;Kribia.kribensis;native
Agneby;Marcusenius.furcidens;native
Agneby;Marcusenius.ussheri;native
Agneby;Micralestes.occidentalis;native
Agneby;Mormyrus.hasselquistii;native
Agneby;Mormyrus.rume;native
Agneby;Nannocharax.fasciatus;native
Agneby;Nematogobius.maindroni;native
Agneby;Notoglanidium.walkeri;native
Agneby;Papyrocranus.afer;native
Agneby;Parailia.pellucida;native
Agneby;Pellonula.vorax;native
Agneby;Petrocephalus.bovei;native
Agneby;Pollimyrus.isidori;native
Agneby;Schilbe.intermedius;native
Agneby;Schilbe.mandibularis;native
Agneby;Synodontis.schall;native
Agneby;Thysochromis.ansorgii;native
Agneby;Tilapia.mariae;native
Agneby;Tylochromis.intermedius;native
Agrioun;Barbus.callensis;native
Agrioun;Pseudophoxinus.callensis;native
Aguan;Alfaro.huberi;native
Aguan;Amphilophus.longimanus;native
Aguan;Amatitlania.nigrofasciata;native
Aguan;Cryptoheros.spilurus;native
Aguan;Astyanax.fasciatus;native
Aguan;Belonesox.belizanus;native
Aguan;Gambusia.nicaraguensis;native
Aguan;Gymnotus.cylindricus;native
Aguan;Heterandria.bimaculata;native
Aguan;Parachromis.dovii;native
Aguan;Parachromis.friedrichsthalii;native
Aguan;Parachromis.managuensis;native
Aguan;Phallichthys.amates;native
Aguan;Poecilia.mexicana;native
Aguan;Rhamdia.quelen;native
Aguan;Synbranchus.marmoratus;native
Aguan;Paraneetroplus.maculicauda;native
Aguan;Xiphophorus.hellerii;native
Ahaggar;Barbus.callensis;native
Ahaggar;Barbus.deserti;native
Ahaggar;Clarias.anguillaris;native
Ahaggar;Clarias.gariepinus;native
Ahaggar;Tilapia.zillii;native
Aksu;Anguilla.anguilla;native
Aksu;Aphanius.anatoliae;native
Aksu;Aphanius.mento;native
Aksu;Cobitis.simplicispina;native
Aksu;Cyprinus.carpio;exotic
Aksu;Gambusia.affinis;exotic
Aksu;Pseudophoxinus.handlirschi;native
Aksu;Pseudorasbora.parva;exotic
Aksu;Sander.lucioperca;exotic
Aksu;Vimba.vimba;native
Alabama;Acipenser.fulvescens;native
Alabama;Acipenser.oxyrinchus;native
Alabama;Agonostomus.monticola;native
Alabama;Alosa.aestivalis;native
Alabama;Alosa.alabamae;native
Alabama;Alosa.chrysochloris;native
Alabama;Ambloplites.ariommus;native
Alabama;Ameiurus.brunneus;native
Alabama;Ameiurus.catus;native
Alabama;Ameiurus.melas;native
Alabama;Ameiurus.natalis;native
Alabama;Ameiurus.nebulosus;native
Alabama;Amia.calva;native
Alabama;Ammocrypta.beanii;native
Alabama;Ammocrypta.meridiana;native
Alabama;Anguilla.rostrata;native
Alabama;Aphredoderus.sayanus;native
Alabama;Aplodinotus.grunniens;native
Alabama;Campostoma.oligolepis;native
Alabama;Campostoma.pauciradii;native
Alabama;Carpiodes.cyprinus;native
Alabama;Carpiodes.velifer;native
Alabama;Centrarchus.macropterus;native
Alabama;Cottus.bairdii;native
Alabama;Cottus.carolinae;native
Alabama;Cottus.paulus;native
Alabama;Crystallaria.asprella;native
Alabama;Ctenopharyngodon.idella;exotic
Alabama;Cycleptus.elongatus;native
Alabama;Cyprinella.callistia;native
Alabama;Cyprinella.gibbsi;native
Alabama;Cyprinella.lutrensis;exotic
Alabama;Cyprinella.trichroistia;native
Alabama;Cyprinella.venusta;native
Alabama;Cyprinella.whipplei;native
Alabama;Cyprinodon.variegatus.variegatus;native
Alabama;Cyprinus.carpio;exotic
Alabama;Dorosoma.cepedianum;native
Alabama;Dorosoma.petenense;native
Alabama;Elassoma.evergladei;native
Alabama;Elassoma.zonatum;native
Alabama;Enneacanthus.gloriosus;native
Alabama;Enneacanthus.obesus;native
Alabama;Erimyzon.oblongus;native
Alabama;Erimyzon.sucetta;native
Alabama;Erimyzon.tenuis;native
Alabama;Esox.americanus.americanus;native
Alabama;Esox.niger;native
Alabama;Etheostoma.bellator;native
Alabama;Etheostoma.chermocki;native
Alabama;Etheostoma.chlorosomum;native
Alabama;Etheostoma.coosae;native
Alabama;Etheostoma.ditrema;native
Alabama;Etheostoma.douglasi;native
Alabama;Etheostoma.etowahae;native
Alabama;Etheostoma.fusiforme;native
Alabama;Etheostoma.gracile;native
Alabama;Etheostoma.histrio;native
Alabama;Etheostoma.jordani;native
Alabama;Etheostoma.nigrum;native
Alabama;Etheostoma.nuchale;native
Alabama;Etheostoma.parvipinne;native
Alabama;Etheostoma.proeliare;native
Alabama;Etheostoma.ramseyi;native
Alabama;Etheostoma.rupestre;native
Alabama;Etheostoma.scotti;native
Alabama;Etheostoma.stigmaeum;native
Alabama;Etheostoma.swaini;native
Alabama;Etheostoma.tallapoosae;native
Alabama;Etheostoma.trisella;native
Alabama;Etheostoma.whipplei;native
Alabama;Etheostoma.zonifer;native
Alabama;Etheostoma.zonistium;native
Alabama;Fundulus.bifax;native
Alabama;Fundulus.blairae;native
Alabama;Fundulus.catenatus;native
Alabama;Fundulus.chrysotus;native
Alabama;Fundulus.dispar;native
Alabama;Fundulus.notatus;native
Alabama;Fundulus.nottii;native
Alabama;Fundulus.olivaceus;native
Alabama;Fundulus.stellifer;native
Alabama;Gambusia.affinis;native
Alabama;Hemitremia.flammea;native
Alabama;Heterandria.formosa;native
Alabama;Hiodon.tergisus;native
Alabama;Hybognathus.hayi;native
Alabama;Hybognathus.nuchalis;native
Alabama;Hybopsis.lineapunctata;native
Alabama;Hybopsis.winchelli;native
Alabama;Hypentelium.etowanum;native
Alabama;Hypentelium.nigricans;exotic
Alabama;Hypophthalmichthys.molitrix;exotic
Alabama;Ichthyomyzon.castaneus;native
Alabama;Ichthyomyzon.gagei;native
Alabama;Ictalurus.furcatus;native
Alabama;Ictalurus.punctatus;native
Alabama;Ictiobus.bubalus;native
Alabama;Labidesthes.sicculus;native
Alabama;Lampetra.aepyptera;native
Alabama;Lepisosteus.oculatus;native
Alabama;Lepisosteus.osseus;native
Alabama;Lepomis.auritus;native
Alabama;Lepomis.cyanellus;native
Alabama;Lepomis.gulosus;native
Alabama;Lepomis.humilis;native
Alabama;Lepomis.macrochirus;native
Alabama;Lepomis.marginatus;native
Alabama;Lepomis.megalotis;native
Alabama;Lepomis.microlophus;native
Alabama;Lepomis.miniatus;native
Alabama;Lepomis.punctatus;native
Alabama;Lucania.parva;native
Alabama;Luxilus.chrysocephalus;native
Alabama;Luxilus.zonistius;native
Alabama;Lythrurus.ardens;native
Alabama;Lythrurus.atrapiculus;exotic
Alabama;Lythrurus.bellus;native
Alabama;Lythrurus.fasciolaris;native
Alabama;Lythrurus.lirus;native
Alabama;Lythrurus.roseipinnis;native
Alabama;Macrhybopsis.aestivalis;native
Alabama;Macrhybopsis.storeriana;native
Alabama;Menidia.beryllina;native
Alabama;Micropterus.coosae;native
Alabama;Micropterus.punctulatus;native
Alabama;Micropterus.salmoides;native
Alabama;Minytrema.melanops;native
Alabama;Morone.chrysops;exotic
Alabama;Morone.mississippiensis;native
Alabama;Morone.saxatilis;native
Alabama;Moxostoma.anisurum;native
Alabama;Moxostoma.carinatum;native
Alabama;Moxostoma.duquesnii;native
Alabama;Moxostoma.erythrurum;native
Alabama;Moxostoma.poecilurum;native
Alabama;Mugil.cephalus;native
Alabama;Nocomis.leptocephalus;native
Alabama;Nocomis.micropogon;native
Alabama;Notemigonus.crysoleucas;native
Alabama;Notropis.altipinnis;native
Alabama;Notropis.ammophilus;native
Alabama;Notropis.asperifrons;native
Alabama;Notropis.atherinoides;native
Alabama;Notropis.baileyi;native
Alabama;Notropis.buccatus;native
Alabama;Notropis.cahabae;native
Alabama;Notropis.candidus;native
Alabama;Notropis.chalybaeus;native
Alabama;Notropis.chrosomus;native
Alabama;Notropis.edwardraneyi;native
Alabama;Pteronotropis.euryzonus;native
